CCTR_CHILD,CCTR_PARENT,DATE_FROM,DATE_TO,NODE_NAME
CC21,CC2,2015-01-01,2015-01-31,HA300EXAMPLE
CC21,CC1,2016-01-01,2016-01-31,HA300EXAMPLE
3,1,2015-01-13,2015-12-31,XX00CM10000011
4,2,2015-01-13,2015-12-31,XX00CM20000011
20,2,2015-01-13,2015-12-31,XX00CM10000081
4474,2,2015-01-13,2015-12-31,XX00CM10000080
11679,2,2015-01-13,2015-12-31,XX00CM10000085
11881,1,2015-01-13,2015-12-31,XX00CM10000009
11882,11880,2015-01-13,2015-12-31,XX00CM00000093
11895,11880,2015-01-13,2015-12-31,XX00CM10000008
11906,11880,2015-01-13,2015-12-31,XX00CM20JENSEN
11926,11880,2015-01-13,2015-12-31,XX00CM200WELLA
11931,11880,2016-01-13,2016-12-31,XX00CM2000BLCK
13438,11880,2016-01-13,2016-12-31,XX00CM20000009
13446,11880,2016-01-13,2016-12-31,XX00CM100PROMO
14445,11880,2016-01-13,2016-12-31,XX00CM10009999
14573,11880,2016-01-13,2016-12-31,XX00CM10000082
14602,11880,2016-01-13,2016-12-31,XX00CM10000075
14863,11880,2016-01-13,2016-12-31,XX00CM10000069
14981,11880,2016-01-13,2016-12-31,XX00CM10000065
15073,11880,2016-01-13,2016-12-31,XX00CM10000010
15084,1,2017-01-13,2017-12-31,XX00CM10000006
15085,15083,2017-01-13,2017-12-31,XX00CM10004367
15090,15083,2017-01-13,2017-12-31,XX00CM10000064
15118,15083,2017-01-13,2017-12-31,XX00CM20000006
15131,15083,2017-01-13,2017-12-31,XX00CM10000074
15333,1,2017-01-13,2017-12-31,XX00CM10000005
15334,15332,2017-01-13,2017-12-31,XX00CM20000005
15351,15332,2017-01-13,2017-12-31,XX00CM10003593
15389,15332,2017-01-13,2017-12-31,XX00CM10000063
15987,15332,2017-01-13,2017-12-31,XX00CM10000062
16329,1,2017-01-13,2017-12-31,XX00CM10000004
16330,16328,2017-01-13,2017-12-31,XX00CM20000004
16341,16328,2017-01-13,2017-12-31,XX00CM10000092
16343,16328,2018-01-13,2018-12-31,XX00CM10003590
16380,16328,2018-01-13,2018-12-31,XX00CM10000091
16658,16328,2018-01-13,2018-12-31,XX00CM10000090
16700,16328,2018-01-13,2018-12-31,XX00CM10000089
17898,16328,2018-01-13,2018-12-31,XX00CM10000088
18964,16328,2018-01-13,2018-12-31,XX00CM10000087
19053,16328,2018-01-13,2018-12-31,XX00CM10000086
19073,16328,2018-01-13,2018-12-31,XX00CM10000084
19622,16328,2018-01-13,2018-12-31,XX00CM10000083
21661,16328,2018-01-13,2018-12-31,XX00CM10000078
25731,16328,2018-01-13,2018-12-31,XX00CM10000077
28086,16328,2018-01-13,2018-12-31,XX00CM10000061
28108,16328,2018-01-13,2018-12-31,XX00CM10000060
28134,16328,2018-01-13,2018-12-31,XX00CM10000059
32241,16328,2018-01-13,2018-12-31,XX00CM1000E0ZR
32250,16328,2018-01-13,2018-12-31,XX00CM10000076
32256,16328,2018-01-13,2018-12-31,XX00CM10000095
33683,1,2018-01-13,2018-12-31,XX00CM10000003
33684,33682,2018-01-13,2018-12-31,XX00CM10000070
34260,33682,2018-01-13,2018-12-31,XX00CM20000003
34278,33682,2018-01-13,2018-12-31,XX00CM10003594
34316,33682,2018-01-13,2018-12-31,XX00CM10000058
34695,33682,2018-01-13,2018-12-31,XX00CM10000057
36499,33682,2018-01-13,2018-12-31,XX00CM10000056
39814,1,2018-01-13,2018-12-31,XX00CM10000002
39815,39813,2018-01-13,2018-12-31,XX00CM10000054
41242,39813,2018-01-13,2018-12-31,XX00CM10000066
41325,39813,2018-01-13,2018-12-31,XX00CM10003589
41330,39813,2018-01-13,2018-12-31,XX00CM20000002
41338,39813,2018-01-13,2018-12-31,XX00CM10000055
42199,39813,2018-01-13,2018-12-31,XX00CM10000053
43553,1,2018-01-13,2018-12-31,XX00CM10000001
