PRODUCTID,TYPECODE,CATEGORY,HISTORY.CREATEDBY.EMPLOYEEID,HISTORY.CREATEDAT,HISTORY.CHANGEDBY.EMPLOYEEID,HISTORY.CHANGEDAT,NAMEID,DESCID,PRODUCT_TEXT,PRODUCT_DESC,SUPPLIER.PARTNERID,TAXTARIFFCODE,QUANTITYUNIT,WEIGHTMEASURE,WEIGHTUNIT,CURRENCY,PRICE,PRODUCTPICURL,WIDTH,DEPTH,HEIGHT,DIMENSIONUNIT
HT-1000,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000001,1000000002,Notebook Basic 15,Notebook Basic 15 with 1.7GHz - 15 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,100000000,1,EA,4.2,KG,EUR,956,/sap/hana/democontent/epmNext/data/images/HT-1000.jpg,0.3,0.18,0.03,M
HT-1001,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000003,1000000004,Notebook Basic 17,Notebook Basic 17 with 1.7GHz - 17 XGA - 1024MB DDR2 SDRAM - 40GB Hard Disc,100000001,1,EA,4.5,KG,EUR,1249,/sap/hana/democontent/epmNext/data/images/HT-1001.jpg,0.29,0.17,0.03,M
HT-1002,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000005,1000000006,Notebook Basic 18,Notebook Basic 18 with 1.7GHz - 18 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,100000002,1,EA,4.2,KG,USD,1570,/sap/hana/democontent/epmNext/data/images/HT-1002.jpg,0.28,0.19,0.03,M
HT-1003,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000007,1000000008,Notebook Basic 19,Notebook Basic 19 with 1.7GHz - 19 LCD - 1024MB DDR2 SDRAM - 40GB Hard Disc,100000003,1,EA,4.2,KG,EUR,1650,/sap/hana/democontent/epmNext/data/images/HT-1003.jpg,0.32,0.21,0.04,M
HT-1007,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000009,1000000010,1UMTS PDA,Ultra fast 3G UMTS/HSDPA Pocket PC. can be used with any GSM network in the world  - Bluetooth 2.0wireless connectivity,100000004,1,EA,0.2,KG,USD,499,/sap/hana/democontent/epmNext/data/images/HT-1007.jpg,0.32,0.22,0.03,M
HT-1010,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000011,1000000012,Notebook Professional 15,Notebook Professional 15 with 2.3GHz - 15 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),100000005,1,EA,4.3,KG,EUR,1999,/sap/hana/democontent/epmNext/data/images/HT-1010.jpg,0.33,0.2,0.03,M
HT-1011,PR,Notebooks,0000000033,2012-10-03,0000000033,2012-10-03,1000000013,1000000014,Notebook Professional 17,Notebook Professional 17 with 2.3GHz - 17 XGA - 2048MB DDR2 SDRAM - 40GB Hard Disc - DVD-Writer (DVD-R/+R/-RW/-RAM),100000006,1,EA,4.1,KG,JPY,2299,/sap/hana/democontent/epmNext/data/images/HT-1011.jpg,0.33,0.23,0.02,M
HT-1020,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000015,1000000016,Easy Hand III,High resolution 320x320 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,100000007,1,EA,0.16,KG,EUR,129,/sap/hana/democontent/epmNext/data/images/HT-1020.jpg,0.1,0.02,0.17,M
HT-1021,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000017,1000000018,Easy Hand V,High resolution 320x320 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,100000008,1,EA,0.18,KG,MXN,149,/sap/hana/democontent/epmNext/data/images/HT-1021.jpg,0.11,0.02,0.18,M
HT-1022,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000019,1000000020,Easy Hand VII,High resolution 320x480 transflective color screen - 16MB of memory - Infrared Port - Speaker - Stylus,100000009,1,EA,0.2,KG,ARS,205,/sap/hana/democontent/epmNext/data/images/HT-1022.jpg,0.84,0.02,0.14,M
HT-1023,PR,Handhelds,0000000033,2012-10-03,0000000033,2012-10-03,1000000021,1000000022,Easy Power,High resolution 320x480 transflective color screen - 32MB of memory - Infrared Port - Speaker - Stylus,100000010,1,EA,0.8,KG,USD,239,/sap/hana/democontent/epmNext/data/images/HT-1023.jpg,0.8,0.02,0.13,M
HT-1030,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000023,1000000024,Ergo Screen,17 Optimum Resolution 1024 x 768 @ 85Hz. Max resolution 1280 x 960 @ 75Hz. Dot Pitch: 0.27mm,100000011,1,EA,18,KG,EUR,230,/sap/hana/democontent/epmNext/data/images/HT-1030.jpg,0.37,0.12,0.36,M
HT-1031,PR,Flat screens,0000000033,2012-10-03,0000000033,2012-10-03,1000000025,1000000026,Easy Pixel,19 Optimum Resolution 1280 x 960 @ 85Hz. Max resolution 1600 x 1200 @ 75Hz. Dot Pitch: 0.26mm,100000012,1,EA,22,KG,GBP,285,/sap/hana/democontent/epmNext/data/images/HT-1031.jpg,0.41,0.19,0.43,M
